"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Tirelli T.; Favaro L.; Gamba M.; Pessani D.","Tirelli, Tina (6508185424); Favaro, Livio (35302287400); Gamba, Marco (23392458000); Pessani, Daniela (6506629942)","6508185424; 35302287400; 23392458000; 6506629942","Performance comparison among multivariate and data mining approaches to model presence/absence of Austropotamobius pallipes complex in Piedmont (North Western Italy)","2011","Comptes Rendus - Biologies","334","10","","695","704","9","5","10.1016/j.crvi.2011.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053323637&doi=10.1016%2fj.crvi.2011.07.002&partnerID=40&md5=652405de650a8f011bdd36555c3a90ce","Freshwater inhabitants in Piedmont (Italy) have been deeply disadvantaged by environmental changes caused by human disturbance. Hence there are engendered species that need human intervention of an entirely different kind - better management through the development of innovative practical tools. The most ecologically important of the river-dwelling invertebrates is a threatened species, the native white-clawed crayfish Austropotamobius pallipes. This is the species that we focused on in our effort to contribute to species conservation. Specifically we contrasted three different techniques of managing data relating to the presence/absence of this species: logistic regression, decision-tree models and artificial neural networks (ANN). Logistic regression and decision tree models (unpruned and pruned) performed worse than ANN. In this case, tree-pruning techniques did not make these models significantly more reliable, but did make the trees less complex and therefore did make the models clearer. ANN performed the best. Therefore we have judged them to be the most effective techniques. © 2011 Académie des sciences. Published by Elsevier Masson SAS. All rights reserved.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-80053323637"
"Sarhadi A.; Burn D.H.; Johnson F.; Mehrotra R.; Sharma A.","Sarhadi, Ali (26531917200); Burn, Donald H. (7102878303); Johnson, Fiona (34876674300); Mehrotra, Raj (57203234869); Sharma, Ashish (57190818469)","26531917200; 7102878303; 34876674300; 57203234869; 57190818469","Water resources climate change projections using supervised nonlinear and multivariate soft computing techniques","2016","Journal of Hydrology","536","","","119","132","13","36","10.1016/j.jhydrol.2016.02.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959418865&doi=10.1016%2fj.jhydrol.2016.02.040&partnerID=40&md5=9f42d689c15fd95b01a75d90f710253e","Accurate projection of global warming on the probabilistic behavior of hydro-climate variables is one of the main challenges in climate change impact assessment studies. Due to the complexity of climate-associated processes, different sources of uncertainty influence the projected behavior of hydro-climate variables in regression-based statistical downscaling procedures. The current study presents a comprehensive methodology to improve the predictive power of the procedure to provide improved projections. It does this by minimizing the uncertainty sources arising from the high-dimensionality of atmospheric predictors, the complex and nonlinear relationships between hydro-climate predictands and atmospheric predictors, as well as the biases that exist in climate model simulations. To address the impact of the high dimensional feature spaces, a supervised nonlinear dimensionality reduction algorithm is presented that is able to capture the nonlinear variability among projectors through extracting a sequence of principal components that have maximal dependency with the target hydro-climate variables. Two soft-computing nonlinear machine-learning methods, Support Vector Regression (SVR) and Relevance Vector Machine (RVM), are engaged to capture the nonlinear relationships between predictand and atmospheric predictors. To correct the spatial and temporal biases over multiple time scales in the GCM predictands, the Multivariate Recursive Nesting Bias Correction (MRNBC) approach is used. The results demonstrate that this combined approach significantly improves the downscaling procedure in terms of precipitation projection. © 2016 Elsevier B.V.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84959418865"
"Wenkel K.-O.; Mirschel W.; Berg M.; Wieland R.; KOstner B.","Wenkel, K.-O. (6603465089); Mirschel, W. (55892583300); Berg, M. (7202002865); Wieland, R. (12039168400); KOstner, B. (6603728050)","6603465089; 55892583300; 7202002865; 12039168400; 6603728050","Experience from the use of the interactive model-And gis-based information and decision support system LandCaRe-DSS for the development of economic effective application strategies of agriculture to climate change","2011","CEUR Workshop Proceedings","1152","","","129","140","11","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921917064&partnerID=40&md5=c642931ffcde7934e018521b0a30a7b7","The expected change of climate will influence agriculture in a multifactorial manner. Up to now there are few suitable tools and methods for agricultural farms and other decision makers to give helpful answers on questions like: How will climate change influence regional agriculture and ecosystems and what will be possible adaptation strategies for agriculture. The newly developed information and decision support system, called LandCaRe-DSS, closes this gap. It is designed as a user friendly, interactive, model-based, and spatial-oriented information and decision support system, can be used on different spatial scales, and supports long-term and ensemble simulations on a high spatial resolution. The LandCaRe-DSS system assists strategic planning in agriculture and sustainable development of rural areas (regions) and provides answers concerning the effects and costs of possible adaptation measures. Being still a prototype, LandCaRe-DSS is parameterized and validated for two German regions at present. The impact models used in LandCaRe-DSS, the experience of collaboration with stakeholders, and the possibilities and limitations of the LandCare-DSS are described just like practical experience gathered during the system development from the modelling and implementation point of view. First results of scenario simulations based on different climate regionalization methods are presented and discussed.","Conference paper","Final","","Scopus","2-s2.0-84921917064"
"Gopal S.; Kaufman L.; Pasquarella V.; Ribera M.; Holden C.; Shank B.; Joshua P.","Gopal, Sucharita (7005988636); Kaufman, Les (7201751143); Pasquarella, Valerie (48761793900); Ribera, Marta (57508886000); Holden, Chris (56535986400); Shank, Burton (36970752200); Joshua, Pitts (56660585200)","7005988636; 7201751143; 48761793900; 57508886000; 56535986400; 36970752200; 56660585200","Modeling Coastal and Marine Environmental Risks in Belize: the Marine Integrated Decision Analysis System (MIDAS)","2015","Coastal Management","43","3","","217","237","20","6","10.1080/08920753.2015.1030292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930069125&doi=10.1080%2f08920753.2015.1030292&partnerID=40&md5=73289c00e2045a2e9ca00a0dcc56bc04","The livelihood of coastal communities is directly linked to the health of intertidal and marine ecosystems. Coastal zones and marine areas are rapidly changing and highly vulnerable to impacts from climate change, accelerating human development, and over-fishing. Quality of life and the benefits of coastal development can be greatly enhanced, and costs minimized, by projecting and comparing alternative policy outcomes before management decisions are made. This article describes the Marine Integrated Decision Analysis System (MIDAS), an interactive decision support tool designed to assist the users and managers of Belize's system of marine management areas (MMAs) in understanding the interactions among various ecological, socioeconomic, and governance conditions in a spatially explicit manner. MIDAS can simulate and visualize the likely effects of alternative management strategies and therefore provides an important tool for evaluating potential scenarios. We developed two MIDAS modules to address specific threats in Belize –spatial risk resulting from mangrove deforestation in coastal areas and the potential effect of an oil spill off the coast of Belize. Workshops conducted in Belize indicate that diverse user groups such as fishers, tourism operators, and public environmental agencies can successfully utilize MIDAS to understand MMA outcomes, and environmental risks. © 2015, Copyright © Taylor & Francis Group, LLC.","Article","Final","","Scopus","2-s2.0-84930069125"
"Kaspersen B.S.; Jacobsen T.V.; Butts M.B.; Jensen N.H.; Boegh E.; Seaby L.P.; Müller H.G.; Kjaer T.","Kaspersen, Bjarke Stoltze (56901402800); Jacobsen, Torsten Vammen (18433965900); Butts, Michael Brian (7004354427); Jensen, Niels H. (24487938100); Boegh, Eva (55887715600); Seaby, Lauren Paige (57224951237); Müller, Henrik Gioertz (56918991300); Kjaer, Tyge (35199686700)","56901402800; 18433965900; 7004354427; 24487938100; 55887715600; 57224951237; 56918991300; 35199686700","Using a map-based assessment tool for the development of cost-effective WFD river basin action programmes in a changing climate","2016","Journal of Environmental Management","178","","","70","82","12","7","10.1016/j.jenvman.2016.04.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964452684&doi=10.1016%2fj.jenvman.2016.04.043&partnerID=40&md5=95f25a26ae816c4b7ff81e493c66323a","For the 2nd and 3rd river basin management cycles (2015-2027) of the Water Framework Directive (WFD), EU Member States are required to fully integrate climate change into the process of river basin management planning (RBMP). Complying with the main WFD objective of achieving 'good ecological status' in all water bodies in Denmark requires Programmes of Measures (PoMs) to reduce nitrogen (N) pollution from point and diffuse sources. Denmark is among the world's most intensively farmed countries and in spite of thirty years of significant policy actions to reduce diffuse nutrient emissions, there is still a need for further reductions. In addition, the impacts of climate change are projected to lead to a situation where nutrient loads will have to be reduced still further in comparison to current climate conditions. There is an urgent need to address this challenge in WFD action programmes in order to develop robust and cost-effective adaptation strategies for the next WFD RBMP cycles. The aim of this paper is to demonstrate and discuss how a map-based PoMs assessment tool can support the development of adaptive and cost-effective strategies to reduce N losses in the Isefjord and Roskilde Fjord River Basin in the north east of Denmark. The tool facilitates assessments of the application of agri-environmental measures that are targeted towards low retention agricultural areas, where limited or no surface and subsurface N reduction takes place. Effects of climate change on nitrate leaching were evaluated using the dynamic agro-ecosystem model 'Daisy'. Results show that nitrate leaching rates increase by approx. 25% under current management practices. This impact outweighs the expected total N reduction effect of Baseline 2015 and the first RBMP in the case study river basin. The particular PoMs investigated in our study show that WFD N reduction targets can be achieved by targeted land use changes on approx. 4% of the agricultural area under current climate conditions and approx. 9% of the agricultural area, when projected climate change impacts on nitrate leaching rates are included in the assessment. The study highlights the potential of the PoMs assessment tool to assist in evaluation of alternative WFD RBMP scenarios to achieve spatially targeted and cost-effective reductions of N loads at catchment scale in the context of a changing climate. © 2016 Elsevier Ltd.","Article","Final","","Scopus","2-s2.0-84964452684"
"Francesconi W.; Perez Minana E.; Willcock S.; Villa F.; Quintero M.","Francesconi, Wendy (55849365000); Perez Minana, Elena (6508030111); Willcock, Simon (36520213600); Villa, Ferdinando (7005590794); Quintero, Marcela (16246442600)","55849365000; 6508030111; 36520213600; 7005590794; 16246442600","Linking ecosystem services to food security in a changing planet: Assessing Peruvian Amazon deforestation using the artificial intelligence for ecosystem services (ARIES) framework","2015","ASABE 1st Climate Change Symposium: Adaptation and Mitigation","","","","325","327","2","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947076886&partnerID=40&md5=9f5ac4f273bcc0e316caa737f17fdb24","There is an increasing need to incorporate ecosystem services into natural resource management and development-related decision-making. The region surrounding the Amazon city of Pucallpa in Peru has been experiencing fast deforestation events over recent decades. Land use changes from forest to agriculture have had limited success increasing wellbeing for local communities. Timber extraction and the incorporation of oil palm plantations are changing the biophysical environment and human-nature dynamics in the region. Monitoring these changes is necessary to develop a comprehensive understanding of deforestation drivers, their socio-economic and political context, their impact on ecosystem services and food security, as well as their future effects in response to climate change. Furthermore, the rapid exploitation of natural resources driven by human activities is a global phenomenon affecting not just the Peruvian Amazon. However, these human-nature interactions are not a one-way phenomenon, it is necessary to develop models that can integrate human activities and perceptions with biophysical information to understand both the effect humans have on the natural system, and also how resulting changes in nature cause concomitant effects on humans; such feedback loops have potential for extreme adverse impacts via tipping points. ARIES is a dynamic modeling platform which uses artificial intelligence techniques to simulate and evaluate these links; following flows of ecosystem services from nature to disaggregated beneficiaries, allowing for differentiated shifts in human behavior which may alter future availability of these ecosystem services. A set of processed-based models are being integrated in ARIES and used in Pucallpa to identify: the changes of ecosystem service flows in response to changes in land-use and climate, the impact and extent of future land-use scenarios to the Pucallpa region, and the essential food provision needs of the local communities. The expected results are intended to inform both natural resource management and policy-making for development activities.","Conference paper","Final","","Scopus","2-s2.0-84947076886"
"Abramov V.M.; Gogoberidze G.G.; Karlin L.N.; Lednova J.A.; Popov N.N.","Abramov, Valery M. (27067575000); Gogoberidze, George G. (6507697703); Karlin, Lev N. (6603596462); Lednova, Julia A. (56076423700); Popov, Nickolaj N. (57208079542)","27067575000; 6507697703; 6603596462; 56076423700; 57208079542","Clean technologies development strategy for the national black carbon controlling system in the Russian arctic","2014","International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM","2","4","","313","320","7","26","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946575755&partnerID=40&md5=7e5fe9ed856e8d69d62caa992225b84c","We draw the strategy for development of basic clean technologies that have to be used within national black carbon management system in the Russian Arctic. Black carbon is the significant short-lived climate forcer and it has to be under global control. The main black carbon sources (transport, energy, industry, biomass burning, wildfires) are outside the Arctic. Migration of black carbon to the Arctic from the emission areas is due to the general atmospheric circulation. Therefore, the management system of black carbon content in the Arctic must be global. Today such a system is missing. In the current geopolitical conditions, such a system should consist of national systems for national responsibility areas of the Arctic countries (Russia, Canada, USA, Denmark and Norway). These national systems should be aimed at the control of emissions of black carbon, on the operational measurements of its concentration in the atmosphere, the definition of patterns and scenarios of its penetration into the Arctic, and also on decision making support in the field of regulation at the national level. Another task is the coordination of national systems for ensuring the effective functioning of the global control system for black carbon in whole. Development and introduction in practice of these basic technologies will have a stimulating effect on the market of environmental goods and services. The Ministry of education and science of Russia provided financial support for this research with the state order 2014/166 and state contract 14.515.11.0002. ©, 2014,  SGEM2014.","Conference paper","Final","","Scopus","2-s2.0-84946575755"
"","","","8th International Scientific Conference on Modern Management of Mine Producing, Geology and Environmental Protection, SGEM 2008, Volume 2","2008","8th International Scientific Conference on Modern Management of Mine Producing, Geology and Environmental Protection, SGEM 2008","2","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890282154&partnerID=40&md5=e2a62f0259a570ed290fd53474dc85f6","The proceedings contain 209 papers. The special focus in this conference is on Modern Management of Mine Producing, Geology and Environmental Protection. The topics include: Mine data before ore; a study on shear flocculation of magnesite suspensions; an experimental criterion to determine pillar strength in salt mines; determination of the uniaxial compressive strength of coal with indirect tests; development new sediment transport equation for flume; dissolution of lateritic nickel ore in sulphuric acid medium with potassium dichromate; electrical resistivity variation in coal bearing strata; slope failure analyses in coal measures; geology and mineralogy of the Do?anhisar clay beds (central Anatolia, Turkey); geology, mineralogy and methodology of coal mining in great coal basins of the Borneo island; mine ventilation shafts - structural intervention for soundproofing; mineralogic and geochemical features of neogene aged sedimentary units of Polatli, SW Ankara (Turkey); mining of brown coal and dump reclamation in north - western Bohemia; petrographic and geochemical characteristics of dolomites of kiziloren formation (Konya, Turkey); pollution crisis management in Isfahan with prediction the spread of Siberia high pressure; selective shear flocculation of celestite with aero 845; structural criteria in building on hazardous areas along the Bulgarian black sea coast; study of porosity and permeability of air filter material in respiratory protection filters; the investigation of ground vibration measurements at an agregate quarry in Istanbul-Turkey; waste management in the Norwegian extractive industry; investigation of new non-explosive demolition agent for use at underground mining of hard ores; paleostress studies before dimensional stone exploration; using of conical gauges probe for measurement of stress changes induced by progress of long wall; 3D modeling of dykes in sungun porphyry deposit through applying indicator kriging; a practical short-term production scheduling model for open pit mines; application of P-wave velocity for prediction of strength properties of rocks; assessment of moisture effect on roof rock behaviour in east Alborz coal mines; blasting pattern design with a new developed software for Bajgiran tunnel, Iran; buffer blasting at Gole-Gohar iron ore in Iran; compound modeling of truck-shovel system for determining the optimized travelling path based on tsp modeling; design of mechanized Tabas coalmine ventilation network, using computer simulation; computation of TBM discs life case study; influence of particles shape characteristics of galena on their flotability under the flotation behavior; investigation on discontinuities effects on results of control blasting; long term production scheduling of open pit mines, a review of old and new algorithms; lowering the estimation variance by lithology and alteration separation; process control by rotary drilling with exploration of artificial intelligence methods; quartz (glass) sand - the basic raw material for glass-making; technical and economical abilities of exploitation proprietary halite deposit Zbudza; ultimate pit limit design using heuristic algorithms, case study; rotary steerable systems application in Croatia; oil and gas perspectives of the Triassic sediments in central south Moesian platform margin; simulation of multistage petroleum exploration respect to Iranian oilfield geological condition; impacts of climate change on the coastal zone; agricultural drip irrigation method with the wind energy; applicability of Fenton-like process for decolorization of reactive black 5 by using raw limonite ore; compaction and consolidation behaviour of fly ash and pond ash for stowing in undrground mines; design and manufacture of an automatic sequential rain sampler; investigation and mapping of the soil proprieties in aim to preservation the productivity; investigation of the efficiency of SnO2 coupling on photocatalytic activity of ZnO; new opportunities for Turkey within the global climate change regime; numerical analysis of water well drilling sector of Turkey; ozone formation in southeast Europe simulated by an addvanced QIR quality model; recultivation of mining waste dumps - environmental aspects; sintered glass-ceramic and composites from MSW bottom ash; sintering and phase formation in ceramic materials from blast furnace slag; solidified backfill material on fly ash basis; the decolorization of reactive blue 21 by using Fenton reagent; the effective use of water in Konya (Turkey) closed basin; the use of glass as a packaging material, recycling and a general outlook of the procedures in Turkey; treatment of young landfill leachate by Fenton process; useful vulnerability mapping methods for getting groundwater; watershed modelling as a function of geotechnical investigations; an evaluation of renewable energy resources in Turkey in respect of environment and economy; bi-doped lead dioxide nanocatalyst for oxidative decomposition of organics; Braila plain - implications of water resources quality on environment; Braila plain - resources management; concentration of metals in mushrooms with potential mycoremediation of soil; ecological restoration success of some spoil heaps from Romania - using ground beetles as bioindicators; fly ash for building reclamation mixtures; influence of foundry industry on the environment; iron and manganese removal by zeolite; level of nitrites and nitrates in mushrooms from polluted soil; logistic model of effectivity incresing for separate waste effective collection; possibilities of utilization of Slags from metallurgical processes; removal of heavy metals from acid mine drainage using adsorption methods; utilisation of renewable energy sources by increasing energetic efficiency in Slovakia; utilization possibilities of selected waste kinds in building materials preparing; wastes created in foundry and their treatment; appreciate of risk management of work-people professions in mining industry; using industrial and mining wastes as raw materials to produce light aggregates; concept for implementation of a management of environment in mini-Maritza east EAD; cost-effectiveness analysis of industrial waste recycling; determinants of the firm's pollution abatement expenditure decission in Romania; environment and health literacy; financing support of renewable energy sources in Slovakia; global warming and importance of building isolation; land consolidation and environmental protection; methods and software tools for greenhouse climate; mineral composition of Estonian oil shale semi-coke sediments; polluted fungi species in the mining waste hills coniferous nurseries; save your health and save present and future of your environment; the Berbesti coal field, Romania effects and impact on environment; the dynamics of microbiota on soils degraded by mining activities; the investigation of water quality in rivers by using mathematical modelling; characterization study of aggregates production waste for further processing and valorization; hydraulics of tsunami; offshore pipeline vortex shedding analysis; analysis of geodetic data for investigating polar motion; new Naviteq GNSS sub - network of permanent stations; regarding some dynamic characteristics of the soils and the liquifaction potential of sands in Sofia; using combined GPS and laser tehniques for height determination; observation of subsidence depression by modern geodetic methods; on stress-deformed state of rock mass; levelling staves comparator on the basis of incremental measuring system; vertical accuracy of the breakthrough of the tunnel; automation of planning activities in grading; creation of geologic model of deposit; modification of procedures for generation of contour description from digital graphic images; possibilities of GIS and composite web applications in the sphere of facility management; software implementation of the geo-database model of the republic of Macedonia; visualization of environmental data; geographic information systems - an effective implement for modelling effects of mining activity; minerals properties selection using Ajax and web services integration; digital modling of floods; numerical experiments in image reconstruction by using total variation regularization; a survey on ways for resumption of the used material in educational and industrial centers; academic achievement and psychological stress; accreditation for academic quality; accreditation in Turkish universities; internet addiction research in the school of vocational studies; learning model in school of vocational studies; relationship between emotional intelligence and foreign language learning; the impact of social intelligence on academic achievement; environmental education aspects in indoor engineering courses; development of English language communication skills for professional international environment; research concerning pharmacological properties of some new Xanthine compounds; the comparative study of compulsory education applications in European union countries versus Turkey and vocational tourism education within the perspective of European union and the compatibility of the Turkish tourism education.","Conference review","Final","","Scopus","2-s2.0-84890282154"
"Mogharreban N.; Zargham M.; Alexander C.P.","Mogharreban, N. (6508133519); Zargham, M. (6701798931); Alexander, C.P. (57197485220)","6508133519; 6701798931; 57197485220","Implementation of a down scaling model for climate prediction utilizing fuzzy system","2007","Proceedings of the 2007 International Conference on Artificial Intelligence, ICAI 2007","1","","","300","305","5","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866513345&partnerID=40&md5=7c8f7f88a23fbbe000bea421844ed533","General Circulation Models (GCMs) have been used to simulate global climate changes. These models are very useful for global impacts such as global warming, but they are limited if applied to regional scenarios. This is because they aren't able to neither simulate the local effects nor present the spatial and temporal resolutions accurately. Continued work to improve the efficiency of these systems has led to the development of various models. Improvements have come in the form of Regional Climate Models; they have higher resolution and take into account geographic effects. These models are built from GCMs through downscaling techniques, which bridge the gap between the global climate simulations and regional climate impact assessment. In this paper we present the implementation of a fuzzy rule-based downscaling technique with specific application to the south central region of Illinois. It is suggested that this method can work just as well as other downscaling techniques but with the added advantage of being both computation and resource inexpensive while producing accurate information in a timely manner.","Conference paper","Final","","Scopus","2-s2.0-84866513345"
"Daniels J.A.","Daniels, Justin A. (56988597600)","56988597600","Advances in environmental research","2015","Advances in Environmental Research","37","","","1","191","190","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956555301&partnerID=40&md5=7bc3b0b694ae51c517e05a1122c60b5e","This series covers leading-edge research focusing on the environment, including current research data on water and nutrient use efficiency and root distribution of selected horticultural crops; development of green energy-saving mechanisms; sustainable research and technological development on bio-energy; lentic habitats as study models for assessing aquatic contamination; significant change-points of subperiod levels in tree-ring chronologies as indications of climate change; differences in bryophyte diversity between subalpine abies forests and larix plantations; and mosses as biomonitors of atmospheric pollution. © 2015 by Nova Science Publishers, Inc. All rights reserved.","Book","Final","","Scopus","2-s2.0-84956555301"
"Lemke D.; Hulme P.E.; Brown J.A.; Tadesse W.","Lemke, D. (37077566100); Hulme, P.E. (7006913433); Brown, J.A. (24754411000); Tadesse, W. (35565095300)","37077566100; 7006913433; 24754411000; 35565095300","Distribution modelling of Japanese honeysuckle (Lonicera japonica) invasion in the Cumberland Plateau and Mountain Region, USA","2011","Forest Ecology and Management","262","2","","139","149","10","57","10.1016/j.foreco.2011.03.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957552111&doi=10.1016%2fj.foreco.2011.03.014&partnerID=40&md5=a3ae48a9e718b7c26e949d49565f1095","Predicting the potential distribution of invasive plants within a specific region is pivotal to planning effective management but is challenged by attempting to model expanding populations that are rarely at equilibrium with their environment. We adopt an ensemble modelling approach to assess the potential distribution of Japanese honeysuckle (Lonicera japonica), a vine invasive to forests of the Cumberland Plateau and Mountain Region in the southeast of USA. The influence of disturbance, spatial and temporal heterogeneity and other landscape characteristics were assessed by creating regional level models based on occurrence records from the United States Department of Agriculture, Forest Service, Forest Inventory and Analysis (FIA) database. Logistic regression and maximum entropy (MaxEnt) models were assessed independently and evaluated as predictive tools to test the value of presence/absence and presence only data in predicting species distributions. Ensemble models were also developed that combined the predictions of the two modelling approaches to obtain a more robust prediction. While logistic and MaxEnt models were similar in their predictive ability and dominant input variables, the ensemble approach derived the best fitting model overall. The regional distribution of Japanese honeysuckle was influenced greatly by environmental conditions such as elevation, slope, and temperature with anthropogenic activity having significant, though lesser, influence. The ensemble models predict that Japanese honeysuckle has nearly reached its potential distribution. However, given the critical role of minimum temperature on Japanese honeysuckle distribution, future occupancy at higher elevations is likely to increase since January temperatures for this region are predicted to rise by 1-4. °C over the next 100 years. The models also give some indication of the likely effect of land cover change on its distribution. Japanese honeysuckle tended to be associated with a high component of farming or low component of forest within the local neighbourhood. This suggests disturbed forest and/or high fragmentation has a higher invasion potential and given past trends and expected continued population growth this disturbance and fragmentation will only increase. The models can be integrated into forest management decision support systems and assist in the development of long term management plans, integrating the impact of potential climate and land cover change scenarios. © 2011 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-79957552111"
"Christoph M.; Fink A.; Diekkruger B.; Giertz S.; Reichert B.; Speth P.","Christoph, M. (6701428730); Fink, A. (56522444900); Diekkruger, B. (6603781218); Giertz, S. (8987601700); Reichert, B. (7005273244); Speth, P. (7003415655)","6701428730; 56522444900; 6603781218; 8987601700; 7005273244; 7003415655","IMPETUS: Implementing HELP in the upper ouémé basin","2008","Water SA","34","4 SPEC. ISS.","","481","489","8","12","10.4314/wsa.v34i4.183660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649373917&doi=10.4314%2fwsa.v34i4.183660&partnerID=40&md5=8d909f89d1122700bf0910a79e9edf0c","Regional climate models that take into account land-use changes indicate that in the future, a general decrease in rainfall, together with prominent surface heating, can be expected for sub-Saharan Africa and the region north of the Sahara until 2050. Due to high population growth, land use changes rapidly and influences water availability and water demand. In this context, the research project IMPETUS ('An Integrated Approach to the Efficient Management of Scarce Water Resources in West Africa') offers a range of options for sustainable management of different components of the hydrological cycle. Target areas are the Ouémé basin in Benin and the Drâa catchment in Morocco. This paper concentrates on the Ouémé basin. Based on plausible scenarios of future economic, demographic, and climate developments, the effects of land use, land cover change, climate change, and demographic development on water availability and water demand are quantified. Scenarios of future water availability and water demand for the Upper Ouémé (Benin) catchment are discussed. To calculate water availability, the output of a regional climate model was linked to a hydrological model that also considered land use change calculated by a cellular automata model. Future water requirements were computed by linking population growth and per capita water demand, which was derived from a regional survey. Furthermore, the need for water for animal husbandry was considered. The results of the 'business as usual' scenario, combined with IPCC Scenarios A1B and B2, through the year 2045 are presented. The results reveal a significant decrease in water availability (surface water and groundwater) due to a decrease in rainfall and a significant increase in evapotranspiration. Although total water consumption increases strongly, it represents only about 0.5% of the yearly renewable water resources. Comparing these data, it may be concluded that water scarcity is not a problem in Benin. However, water availability shows high temporal variations due to the rainy and the dry seasons. Even if physical water scarcity is not a limiting factor, access to water in some parts of the catchment is limited due to economic factors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-67649373917"
"Thomas B.; Steidl J.; Dietrich O.; Lischeid G.","Thomas, Björn (48462213500); Steidl, Jörg (6701662073); Dietrich, Ottfried (54936400000); Lischeid, Gunnar (6603961498)","48462213500; 6701662073; 54936400000; 6603961498","Measures to sustain seasonal minimum runoff in small catchments in the mid-latitudes: A review","2011","Journal of Hydrology","408","3-4","","296","307","11","24","10.1016/j.jhydrol.2011.07.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052923244&doi=10.1016%2fj.jhydrol.2011.07.045&partnerID=40&md5=8d8ed93151edd0554edc31c85929190c","In parts of the mid-latitudes, mitigation of critical low flows is becoming a major concern for science and water management institutions. Hydrological catchment models run with input data from global or regional climate models reveal decreasing minimum flow during the summer months. Small catchments (<500km2) will be affected first. This is because even minor changes in precipitation and temperature will have a considerable impact on stream flow due to the low storage capacity and often faster reaction time of the groundwater bodies. Even a small decrease in low flow will increase the risk of water levels falling below ecologically or economically required minimum flows or even of rivers drying up. Mitigation will be necessary to prevent ecological degradation and water use conflicts. The literature on measures that increase water yield or enhance temporal water storage is reviewed. Studies focusing on measures in small catchments are scarce. For this reason, studies on larger scales and storm water retention are also included. Such measures have to be adapted to the conditions in small catchments and evaluated with regard to the aim of ensuring minimum runoff. Measures differ with respect to such aspects as the effective volume, time scale, controllability and conflict potential. Considering these criteria, an evaluation matrix is compiled which can be used to help draw up research and water management plans. Since current concepts to integrate low flow and storm water protection are inadequate, modeling tools and decision support systems that represent measures to ensure minimum runoff need to be developed and refined. © 2011 Elsevier B.V.","Review","Final","","Scopus","2-s2.0-80052923244"
